Column,dipl,HS_corr,HS_persname,persname,HS_persname_check,HS_comment,HS_link,dipl_ctx_lr15,pb_n,doc,dipl-ids
17,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,II. 30 . Vaill. 194 . Heiſt. I. 31 . Linn. G. n. 713 . Roy. 377 . Hall. 580 . Kram. 46 . Ludvv. n. 473 . Tifo- lioides Knaut.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35295', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35296_virtualSpan']"
18,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,Kram. 14 . Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy. 356 . Hall. 362 . Anm. Die Farbe der Blume iſt nach Beſchaffenheit des Erdreichs,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35371', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35372_virtualSpan']"
19,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,Vaill. 52 . Heiſt. II. 12 . Kram. 60 . Vicia Linn. G. no. 708 Roy. 366 . Ludvv. n. 486 . 5. NOM. . SPEC. _ five Phaſcolus major Dod.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35268', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35269_virtualSpan']"
20,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"vulgaris foliis ovalibus fer- ratis Kram. 50 . Brunella bracteis cordatis Linn. H. 316 . Roy. 314 . Brunella foliis dentatis , ſpica folio minore Hall . 636 . Anm. Eine",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35426', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35427_virtualSpan']"
21,Roy.,,Adriaan van Royen,Adriaan_van_Royen,true,Kürzel,https://de.wikipedia.org/wiki/Adriaan_van_Royen,"vulgaris ſive officinarium flore luteo Heiſt. III . 1. Agri- monia foliis pinnatis fructibus hiſpidis Roy. 240 . Hall. 407 . Agrimonia foliis omnibus pinnatis , fructibus hiſpi- dis Linn. H.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35330', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35331_virtualSpan']"
22,Aetius,,Aetios von Amida,Aetios_von_Amida,true,über Name,,"aber zum under⸗ ſcheid des gemeinẽ Wermuths auſſ Lateiniſch Abſinthium montanum genennt . Dioſcorides , Aetius und Ægineta heiſſen ihne Abſinthium Ponticum , von Meſue wird er under dem na⸗ men",659,TheatrumBotanicum_1696_Verzascha,"['RIDGES_Herbology_Version9.0/TheatrumBotanicum_1696_Verzascha#sSpan19553', 'RIDGES_Herbology_Version9.0/TheatrumBotanicum_1696_Verzascha#sTok19554_virtualSpan']"
23,Aet.,,Aetios von Amida,Aetios_von_Amida,true,Kürzel,https://de.wikipedia.org/wiki/A%C3%ABtios_von_Amida,alſo mit angemachet . Ficinus Balſam angerochẽ ſter cket vñ macht froͤlich das gemuͤt . Aet. Vber das hufftwee pflaſter calaminten ſo haſt gůte hilff : dañ ſy zeücht auſz tieffem,NaN,WieSichMeniglich_1557_vonBodenstein,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34119', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34120_virtualSpan']"
24,Ae⸗ tius,,Aetios von Amida,Aetios_von_Amida,true,über Name,,cke die laͤbliche entpfencknuſz / der halben die tragende Loͤwin ſal⸗ ney gern verſchlinden . Ae⸗ tius . Wañ ein kindbetterin am vierten tag nach jhrer reinigung ein quertlin diſes krauts ſafft,NaN,WieSichMeniglich_1557_vonBodenstein,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok517_virtualSpan', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok518_virtualSpan']"
25,Aetius,,Aetios von Amida,Aetios_von_Amida,true,über Name,,nebẽt aͤderlin . Dioſc. Eiſenkraut ge⸗ ſotten vnd truncken benimpt das gifft im leyb . Aetius . Die bruͤ darinn diſz kraut geſotten iſt / im mund gehaltẽ ſtillet deſz zanwee,xxxij,WieSichMeniglich_1557_vonBodenstein,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34105', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34106_virtualSpan']"
26,Aet.,,Aetios von Amida,Aetios_von_Amida,true,Kürzel,https://de.wikipedia.org/wiki/A%C3%ABtios_von_Amida,pulffer gethon in die naſen / beiſzt das faul fleiſch darauſz genam̃ſet der kraͤbs . Aet. Den nabel mit Erdoͤpffel ſafft geſchmieret ma⸗ chet ſtůlgeng . Diſe wurtzel treibet auſz die,NaN,WieSichMeniglich_1557_vonBodenstein,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34110', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34111_virtualSpan']"
27,Agrippa,,Agrippa von Nettesheim,Agrippa_von_Nettesheim,true,über Name & Kontext,,ſchwãger frau⸗ wẽ ſollend ſein nicht zů vil nützen ſeiner treibenden krafft halben . Wiewol Agrippa geſagt ſy ſter⸗ cke die laͤbliche entpfencknuſz / der halben die tragende Loͤwin ſal⸗ ney,NaN,WieSichMeniglich_1557_vonBodenstein,"['RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sSpan34098', 'RIDGES_Herbology_Version9.0/WieSichMeniglich_1557_vonBodenstein#sTok34099_virtualSpan']"
28,Aiacis,persname anpassen,Aias (Mythologie),Aiacis,false,Trojanischer Krieg,https://de.wikipedia.org/wiki/Aias_der_Telamonier,genoſſen / vnd nach jnen Liguſticum geheyſſen . Teucer eyn alter Troianer / der brůder Aiacis / hat Teucrion / oð Eren⸗ breiſz erfunden . Der weiſz Themiſon / hat nit,NaN,NewKreuetterBuch-VR_1539_Bock,"['RIDGES_Herbology_Version9.0/NewKreuetterBuch-VR_1539_Bock#sSpan12224', 'RIDGES_Herbology_Version9.0/NewKreuetterBuch-VR_1539_Bock#sTok12225_virtualSpan']"
29,B.,,Aimé Jacques Alexandre Bonpland (?),Aimé_Jacques_Alexandre_Bonpland,true,unklar,,", 2 in den Anden von Perus und Quito . Sect. IV . Andromachia H. B. ( als Gatt. ) Beblätterte und verzweigte Kräuter oder Sträucher . Fr. kahl , behaart",285,NatürlichePflanzenfamilien_1887_Engler,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23617', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23618_virtualSpan']"
30,B.,,Aimé Jacques Alexandre Bonpland (?),Aimé_Jacques_Alexandre_Bonpland,true,unklar,,"fil. in mehreren Abarten ( Fig. 131 A ) . Sect. II . Chrysactinium H. B. K. ( Wedd. als Gatt. ) Kräuter mit wurzelständigen B. und blattlosen , schaftförmigen ,",285,NatürlichePflanzenfamilien_1887_Engler,"['RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sSpan23610', 'RIDGES_Herbology_Version9.0/Nat%C3%BCrlichePflanzenfamilien_1887_Engler#sTok23611_virtualSpan']"
31,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,. Dill. 109 . Boerh. II. 226 . Vaill. 27 . Heiſt. I. 7 . Hall. 464 . Ludvv. no. 278 . Lonicera Linn. G. no. 174 . Roy. 237 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35443', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35444_virtualSpan']"
32,Hall,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,". Linn. H. 213 . Roy. 482 . Delphinium radice fibroſa , folliis tenuiſſime diviſis Hall . 314 . Anm. Dieses Geſchlechtes Art , deren nach der Natur gemachte Figur wir",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35479', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35480_virtualSpan']"
33,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,1720 . edit. Pariſ . 320 . Linn. Gen. n. 794 . Roy. 175 . Hall. 712 . Ludvv. n. 358 . 5. NOM. SPEC . Stratiotes millefolia Fuchſ. 727 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35239', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35240_virtualSpan']"
34,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"Achillea pinnis foliorum plurimis , longe æqualibus , pinnatis , pinulis trifidis & quinque- fidis Hall. 715 . Anm. . Die unterſte Blaͤtter an der Wurtzel a. ſind viel mehr zer⸗",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35255', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35256_virtualSpan']"
35,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,Boerh. I. 301 . Vaill. 46 . Linn. G. no 535 . Roy. 482 . Hall. 314 . Kram. 67 . Ludvv. no. 740 . Calcatrippa . Cord. Hiſt. 159 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35464', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35465_virtualSpan']"
36,Hall,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"cordatis Linn. H. 316 . Roy. 314 . Brunella foliis dentatis , ſpica folio minore Hall . 636 . Anm. Eine gantze Blume zeiget ſich von vornen fig. 1. a. nebſt",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35427', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35428_virtualSpan']"
37,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"flore luteo Heiſt. III . 1. Agri- monia foliis pinnatis fructibus hiſpidis Roy. 240 . Hall. 407 . Agrimonia foliis omnibus pinnatis , fructibus hiſpi- dis Linn. H. 179 . Anm.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35331', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35332_virtualSpan']"
38,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"flore majore Riv. Tab. 29 . Brunella foliis integris vix deneatis , ſpica foliis majore Hall. 687.3 aber mit dieſer kommt die unſrige noch weniger uͤberein , welche wir deswe⸗ gen",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35429', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35430_virtualSpan']"
39,Herr Hof⸗Rath Haller,,Albrecht von Haller,Albrecht_von_Haller,true,über Name,,"Geſchmack habe : daſz die Wurtzel im Fruͤh⸗ ling einen Geruch habe , bemercket auch Herr Hof⸗Rath Haller 1. c. Nichts deſto weniger ſcheinet diejenige Art , welche FAB. COLVMNA als wohlruͤchend und",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2833_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2834_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok2835_virtualSpan']"
40,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"H. 375 . Roy. 380 . Trifolium ſpicis villoſis foliis inſidentibus , vaginarum caudis capillaribus Hall. 585 . Trifoliodes Knaut. meth. 84 . Triphylloides pratenſis flore purparco Ponted Anth. 241 .",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35302', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35303_virtualSpan']"
41,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,Heiſt. I. 1 . Kram. 73 . Artemiſia Linn. Gen. no. 779 Roy. 153 . Hall. 694 . Ludvv. n. 296 . 5. NOM. SPEC. Abſinthium flore luteo officinarum Heuch. Ind.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35212', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35213_virtualSpan']"
42,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,I. 168 . Vaill. 22 . Heiſt. I. 6 . Linn. G. no. 586 . Hall. 636 . Kram. 50 . Ludvv. no. 201 . 5. NOM. SPEC. Conſolida minor Matth.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35407', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35408_virtualSpan']"
43,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"incanis , pinnatis , pinnis bilobis latioribus , floribus ex alis pendulis in ſpicis heteromallis Hall. 694 . Anm. Dieses Gewaͤchs gehoͤret in die Claſſe derjenigen , die eine aus vielen",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35225', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35226_virtualSpan']"
44,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35380', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35381_virtualSpan']"
45,Hall.,,Albrecht von Haller,Albrecht_von_Haller,true,Kürzel,http://www.f-lohmueller.de/botany/Authors.htm,"maius Rai. I. _ . Trifolium purpureum maius ſativum pratenſi ſimile Rat. Syn. 328. conf. Hall. 586. eine beſtaͤndige varietaͤt ſeye , oder nur von der cultur herkomme , iſt annoch",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35305', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35306_virtualSpan']"
