,persname,dipl,dipl_ctx_lr15,pb_n,doc,dipl-ids
24,Pedanios_Dioskurides,Diaſcorides,kol gekocht mit linsen kraut / vnd geſſen / bringet den ſtulgang . Es ſpricht Diaſcorides / das bleta gut ſey dem boͤſem Miltz / geſotten mit kraut od⸗ der ſamen,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24154', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24155_virtualSpan']"
25,Serapion_von_Alexandria,Serapio,wird wol riechen / vnd wermet den Magen / vnd machet gute dewung . Item Serapio ſpricht / das Baſilien ſey gut dem Magen / vnd macht deuen die grobe ſpeis,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24155', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24156_virtualSpan']"
26,Matthaeus_Platearius,Platearius,gepurt / vnd reyniget ſie nach der gepurt . Welcher troͤpfling harmet . Balſamita . Platearius ſpricht / Balſam kraut ge⸗ ſotten mit wein vnd getruncken / iſt gut Stranguirioſis /,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24156', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24157_virtualSpan']"
27,Pandecta,Pandecta,wein vnd getruncken / iſt gut Stranguirioſis / das ſind / die troͤpfling harmen . Pandecta ſpricht / ger⸗ ſten mehl / ſayffen mit Balſam gepuͤluert / iſt gut widder den,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24157', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24158_virtualSpan']"
28,Pedanios_Dioskurides,Diaſcorides,ihm boͤſe geluͤſt / vnd machet ihn keuſch . Iſt auch gut dem hirn ſpricht Diaſcorides / wenn die bletter gepuͤluert werden / vnd genoſſen mit lauendel waſſer . Was dem,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24158', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24159_virtualSpan']"
29,Serapion_von_Alexandria,Serapio,lauendel waſſer . Was dem man mehre ſeynen ſamen . Behem herba ſic dicta . Serapio ſpricht / dieſe wurtz ſtercket das hertz / vnd nimpt dem hertzen das zittern /,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24159', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24160_virtualSpan']"
30,Avicenna,Auicenna,ynn Ethiopia / vnd ynn India / vnd ynn dem land Paleſtin / Vnd ſchreybt Auicenna vnd Pandecia viel dauon . Fuͤr die hitze . Brunella . Das kraut geſtoſſen mit,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24160', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24161_virtualSpan']"
31,Pandecta,Pandecia,/ vnd ynn India / vnd ynn dem land Paleſtin / Vnd ſchreybt Auicenna vnd Pandecia viel dauon . Fuͤr die hitze . Brunella . Das kraut geſtoſſen mit eſſig /,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24161', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24162_virtualSpan']"
32,Isaak_ben_Salomon_Israeli,Iſaac,eſſig getemperiert / vmb das ſieche haubt beſtrichen / benimpt das wee / dauon ſpricht Iſaac / diſs kraut gemiſcht mit an⸗ dern guten kreuttern / vnd geeſſen / treybet aus,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24162', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24163_virtualSpan']"
33,Galenos,Galienus,heylet alt ſcheden ſo man ſie darauff legt . Fuͤr den krampff . Bedugar . Galienus ſchreibt / wer ab dem ſamen von Hagendorn trinckt / das nimpt den krampff .,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24163', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24164_virtualSpan']"
34,Plinius_der_Ältere,Plinius,die wunden / heylet ynn einem tage mehr denn andere ſalben ynn vierzehen tagen . Plinius ſpricht / das der Balſam als groſſe tugend an ihm hat / das er einem,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24164', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24165_virtualSpan']"
35,Pedanios_Dioskurides,Diaſcorides,mit wein vnd getruncken . Was geſchwulſt hynneme . Bitumen Judaicum / Juden leym . Diaſcorides ſpricht das nimpt geſchwulſt mit eſſig gemiſcht vnd daruͤber ge⸗ ſtrichen . Das gemiſchet mit,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24165', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24166_virtualSpan']"
36,Pedanios_Dioskurides,Diaſcorides,/ der trincke von Camillen blu⸗ men . Fuͤr fehl der augen . Celidonia . Diaſcorides ſpricht / der ſafft von Schel⸗ wurtzel geſotten mit honig / ſey gut genuͤtzt den,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24166', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24167_virtualSpan']"
37,Matthaeus_Platearius,Platearius,iſt gut widder das gegicht / wenn man das auff den bauch leget / ſpricht Platearius . Serapio ſpricht / der ſamen alſo gruͤn geſtoſſen / vnd den ſafft dar⸗ aus,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24167', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24168_virtualSpan']"
38,Serapion_von_Alexandria,Serapio,widder das gegicht / wenn man das auff den bauch leget / ſpricht Platearius . Serapio ſpricht / der ſamen alſo gruͤn geſtoſſen / vnd den ſafft dar⸗ aus gelaſſen /,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24168', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24169_virtualSpan']"
39,Galenos,Galienus,Sperma genant . Fuͤr boͤse feuchtigkeyt des geaders . Cuſcuͤta . Filtzkraut odder ſeyde / Galienus vnd Se⸗ rapio ſprechen / das dieſer ſamen ſey gut der boͤsen gallen / vnd,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24169', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24170_virtualSpan']"
40,Serapion_von_Alexandria,Se⸗ rapio,. Fuͤr boͤse feuchtigkeyt des geaders . Cuſcuͤta . Filtzkraut odder ſeyde / Galienus vnd Se⸗ rapio ſprechen / das dieſer ſamen ſey gut der boͤsen gallen / vnd nimpt das wee,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok2590_virtualSpan', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok2591_virtualSpan']"
41,Plinius_der_Ältere,Plinius,diſtillirt / iſt gar nuͤtze wer das ſtechen hat ynn der ſeytten . Et dicit Plinius quod ſit calide nature . Fuͤr die geelſucht . Cardamomum . Wer ſieben tage trincket,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24171', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24172_virtualSpan']"
42,Matthaeus_Platearius,Platearius,. Wer ſieben tage trincket von der wurtzel / iſt gut fuͤr die geelsucht . Platearius ſpricht / diſs kraut geſtoſſen / vnd daraus gedruckt tropffen / vnd die gemiſchet mit,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24172', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24173_virtualSpan']"
43,Plinius_der_Ältere,Plinius,ſind den gliedern ſchedlich vnd truͤcknen zu faſt . Item ſuccus ceparum purgat cerebrum dicit Plinius ſinaribus immittitur . Fuͤr den huſten . Cucurbita . Kuͤrbs waſſer iſt gut widder die,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24173', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24174_virtualSpan']"
44,Serapion_von_Alexandria,Serapio,huſten / mit zucker gemiſchet / vnd iſt auch den bauch weichen zu ſtulgang ſagt Serapio . Fuͤr den wurm ynn den ohren . Caput monachi . Safft von den blettern,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24174', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24175_virtualSpan']"
45,Matthaeus_Platearius,Platea⸗ rius,Coriander ſafft mit eſſig vermenget / iſt gut zu kuͤlen Sanct Anthonius fewer / ſpricht Platea⸗ rius . Item Coriander nimpt den frawen ihre luſt genant Coitum / Auch nimpt es mannen,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok3192_virtualSpan', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok3193_virtualSpan']"
46,Matthaeus_Platearius,Platearius,wein gut Strangwinioſis / das iſt / die mit nodt troͤp⸗ flingen harmen . Platearius ſpricht / das die ryndten von den Cipreſſen faſt gut ſind Calculoſis / die,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24176', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24177_virtualSpan']"
47,Avicenna,Auicenna,Rettich waſſer / treybet den ſteyn aus den lenden vñ aus der plater . Item Auicenna ſpricht / das die nuſs geleget ynn wein / vnd daruon getruncken / benympt das,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24177', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24178_virtualSpan']"
48,Avicenna,Auicenna,auff das haubt . Fuͤr die boͤse lufft . Citrum eyn baum alſo genant . Auicenna ſpricht / das der rauch von dieſer ryndten / nympt die boͤse lufft / daruon,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24178', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24179_virtualSpan']"
49,Matthaeus_Platearius,Platearius,yn wein mit Roſenmarin / dauon getruncken / iſt gut widder ſanct Valentinus ſucht ſpricht Platearius / Ein halb lot Cubeben gepuͤluert / ge⸗ noſſen mit Paris waſſer / iſt gut,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24179', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24180_virtualSpan']"
50,Paulus_Physicus,Paulus Phiſicus,vnd bringet be⸗ gierd zu vnkeuſcheyt / vnd macht wol harmen . Item der meyſter Paulus Phiſicus ſchreybt / das man ſol nemen ſaf⸗ fran / vnd den miſchen mit eynem eyer,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok4192_virtualSpan', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok4193_virtualSpan']"
51,Johannes_Mesuë_der_Ältere,Johannes Meſue,ſeu Cucurbita kuͤrbs . Es iſt ſorglich damit vmbgehen / durch vierley vrſache / als Johannes Meſue ynn dem Capitel ſchreybet Colloquin⸗ tida . Wenn einem die rede verſtehet . Caſtorium .,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok4283_virtualSpan', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok4284_virtualSpan']"
52,Johannes_Mesuë_der_Ältere,Meſue,den Magen / iſt gut fuͤr geſchwer der le⸗ ber vnd kelen . Es ſpricht Meſue / das man Caſſia fiſtel muͤge geben allen menſchen / auch frawen die ſchwanger weren,NaN,ArtzneyBuchleinDerKreutter_1532_Tallat,"['RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sSpan24182', 'RIDGES_Herbology_Version9.0/ArtzneyBuchleinDerKreutter_1532_Tallat#sTok24183_virtualSpan']"
